,Fecha Alta,Tipo,Operación
0,2004-01-01,Parking,Alquiler
1,2004-01-01,Local,Venta
2,2004-01-01,Oficina,Alquiler
3,2004-01-02,Parking,Alquiler
4,2004-01-02,Suelo,Venta
5,2004-01-03,Industrial,Alquiler
6,2004-01-03,Parking,Alquiler
7,2004-01-03,Oficina,Venta
8,2004-01-04,Piso,Alquiler
9,2004-01-04,Parking,Venta
10,2004-01-04,Oficina,Alquiler
11,2004-01-04,Industrial,Venta
12,2004-01-04,Parking,Venta
13,2004-01-04,Local,Venta
14,2004-01-04,Industrial,Alquiler
15,2004-01-05,Casa,Alquiler
16,2004-01-05,Casa,Alquiler
17,2004-01-06,Suelo,Venta
18,2004-01-07,Piso,Alquiler
19,2004-01-08,Oficina,Alquiler
20,2004-01-09,Industrial,Venta
21,2004-01-09,Oficina,Alquiler
22,2004-01-10,Casa,Alquiler
23,2004-01-10,Oficina,Alquiler
24,2004-01-10,Oficina,Alquiler
25,2004-01-10,Local,Alquiler
26,2004-01-11,Local,Alquiler
27,2004-01-12,Casa,Alquiler
28,2004-01-12,Casa,Alquiler
29,2004-01-12,Local,Alquiler
30,2004-01-13,Industrial,Alquiler
31,2004-01-13,Casa,Alquiler
32,2004-01-15,Local,Alquiler
33,2004-01-15,Casa,Venta
34,2004-01-15,Industrial,Alquiler
35,2004-01-16,Industrial,Alquiler
36,2004-01-16,Local,Venta
37,2004-01-17,Suelo,Alquiler
38,2004-01-18,Parking,Alquiler
39,2004-01-18,Oficina,Venta
40,2004-01-18,Piso,Venta
41,2004-01-19,Oficina,Venta
42,2004-01-19,Oficina,Alquiler
43,2004-01-19,Casa,Venta
44,2004-01-20,Oficina,Alquiler
45,2004-01-20,Oficina,Alquiler
46,2004-01-20,Piso,Alquiler
47,2004-01-20,Industrial,Venta
48,2004-01-20,Local,Venta
49,2004-01-20,Local,Alquiler
50,2004-01-20,Industrial,Venta
51,2004-01-22,Local,Alquiler
52,2004-01-22,Suelo,Alquiler
53,2004-01-22,Suelo,Alquiler
54,2004-01-22,Local,Venta
55,2004-01-23,Piso,Venta
56,2004-01-23,Oficina,Alquiler
57,2004-01-24,Local,Alquiler
58,2004-01-24,Industrial,Venta
59,2004-01-24,Oficina,Alquiler
60,2004-01-24,Casa,Venta
61,2004-01-24,Industrial,Venta
62,2004-01-25,Piso,Venta
63,2004-01-26,Industrial,Venta
64,2004-01-26,Oficina,Venta
65,2004-01-27,Suelo,Venta
66,2004-01-27,Industrial,Alquiler
67,2004-01-27,Local,Alquiler
68,2004-01-27,Local,Venta
69,2004-01-28,Casa,Alquiler
70,2004-01-28,Casa,Venta
71,2004-01-28,Suelo,Venta
72,2004-01-28,Parking,Alquiler
73,2004-01-29,Industrial,Venta
74,2004-01-29,Suelo,Venta
75,2004-01-29,Suelo,Alquiler
76,2004-01-30,Industrial,Alquiler
77,2004-01-31,Piso,Venta
78,2004-01-31,Parking,Venta
79,2004-01-31,Parking,Alquiler
80,2004-02-01,Industrial,Alquiler
81,2004-02-02,Parking,Venta
82,2004-02-02,Suelo,Venta
83,2004-02-02,Piso,Venta
84,2004-02-02,Local,Alquiler
85,2004-02-03,Piso,Venta
86,2004-02-03,Industrial,Alquiler
87,2004-02-03,Parking,Alquiler
88,2004-02-04,Local,Alquiler
89,2004-02-04,Suelo,Venta
90,2004-02-04,Industrial,Alquiler
91,2004-02-05,Piso,Alquiler
92,2004-02-05,Industrial,Alquiler
93,2004-02-06,Industrial,Alquiler
94,2004-02-06,Local,Venta
95,2004-02-07,Industrial,Alquiler
96,2004-02-07,Suelo,Venta
97,2004-02-07,Casa,Venta
98,2004-02-07,Industrial,Alquiler
