,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
40,41,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23,Jesús
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
66,67,2004-01-27,Industrial,Alquiler,Barcelona,219,948927,2004-10-15,Jesús
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
80,81,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17,Pedro
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
257,258,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13,María
262,263,2004-04-13,Oficina,Alquiler,Barcelona,244,1006988,2004-08-06,María
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
286,287,2004-04-19,Industrial,Alquiler,Barcelona,225,1360800,2004-07-22,Jesús
295,296,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28,Pedro
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
307,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
314,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
330,331,2004-05-05,Parking,Alquiler,Barcelona,205,990355,2004-12-08,Luisa
370,371,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08,Luisa
391,392,2004-05-30,Piso,Alquiler,Barcelona,202,1560450,2005-02-06,Jesús
393,394,2004-05-31,Local,Alquiler,Barcelona,203,946792,2005-04-17,María
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
405,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
422,423,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
454,455,2004-06-20,Parking,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
480,481,2004-06-29,Oficina,Alquiler,Barcelona,257,1166780,2005-01-10,Jesús
489,490,2004-07-02,Parking,Alquiler,Barcelona,234,1911312,2005-04-08,Luisa
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
509,510,2004-07-06,Industrial,Alquiler,Barcelona,227,1175860,2005-07-05,Joaquín
526,527,2004-07-11,Industrial,Alquiler,Barcelona,231,935781,2004-11-13,Joaquín
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
552,553,2004-07-21,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
562,563,2004-07-25,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
574,575,2004-07-28,Parking,Alquiler,Barcelona,280,1877400,2005-04-21,Joaquín
594,595,2004-08-04,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
599,600,2004-08-08,Oficina,Alquiler,Barcelona,289,1275646,2005-01-29,Pedro
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
612,613,2004-08-11,Industrial,Venta,Barcelona,225,1879200,2004-11-19,Pedro
613,614,2004-08-12,Casa,Alquiler,Barcelona,241,1085705,2005-01-28,Pedro
615,616,2004-08-12,Piso,Alquiler,Barcelona,231,1237929,2005-04-13,Luisa
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
670,671,2004-08-28,Suelo,Alquiler,Barcelona,235,1277930,2005-04-07,Luisa
677,678,2004-08-30,Industrial,Venta,Barcelona,225,1239300,2005-01-29,María
692,693,2004-09-03,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
715,716,2004-09-10,Oficina,Alquiler,Barcelona,206,1793848,2005-09-03,Luisa
723,724,2004-09-12,Oficina,Alquiler,Barcelona,241,2085373,2005-07-07,Joaquín
738,739,2004-09-20,Piso,Venta,Barcelona,250,1527750,2005-02-10,Luisa
739,740,2004-09-21,Parking,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
741,742,2004-09-22,Suelo,Venta,Barcelona,218,1330236,2004-12-27,Pedro
757,758,2004-09-26,Piso,Venta,Barcelona,272,1535168,2005-07-26,Luisa
759,760,2004-09-26,Casa,Alquiler,Barcelona,299,1695330,2005-07-14,Joaquín
771,772,2004-10-04,Suelo,Venta,Barcelona,277,1363948,2005-01-02,Jesús
777,778,2004-10-06,Local,Alquiler,Barcelona,228,1554732,2005-08-17,Jesús
784,785,2004-10-06,Casa,Alquiler,Barcelona,228,1685148,2005-10-05,Luisa
786,787,2004-10-06,Casa,Venta,Barcelona,279,2064879,2005-05-07,María
788,789,2004-10-07,Piso,Venta,Barcelona,251,1781849,2005-07-23,Luisa
796,797,2004-10-11,Oficina,Venta,Barcelona,255,1442280,2005-05-04,Jesús
804,805,2004-10-14,Piso,Alquiler,Barcelona,243,1469178,2005-02-18,Pedro
815,816,2004-10-18,Parking,Alquiler,Barcelona,232,2180104,2005-07-19,Joaquín
855,856,2004-11-03,Industrial,Venta,Barcelona,247,995657,2005-06-29,Jesús
862,863,2004-11-06,Oficina,Alquiler,Barcelona,246,2328636,2005-03-10,Luisa
894,895,2004-11-14,Industrial,Alquiler,Barcelona,229,1341024,2005-09-12,Jesús
897,898,2004-11-15,Casa,Venta,Barcelona,258,2449452,2005-03-14,Jesús
901,902,2004-11-17,Oficina,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
925,926,2004-11-25,Suelo,Alquiler,Barcelona,298,2376550,2005-10-19,Luisa
927,928,2004-11-26,Industrial,Alquiler,Barcelona,283,1615647,2005-06-06,Joaquín
939,940,2004-12-02,Industrial,Venta,Barcelona,249,1662822,2005-07-11,Luisa
948,949,2004-12-05,Parking,Alquiler,Barcelona,206,1241562,2005-07-27,María
975,976,2004-12-16,Local,Alquiler,Barcelona,232,1236560,2005-11-20,Pedro
981,982,2004-12-19,Casa,Alquiler,Barcelona,212,1588940,2005-08-29,Carmen
982,983,2004-12-19,Oficina,Alquiler,Barcelona,250,1127750,2005-04-04,Luisa
984,985,2004-12-20,Piso,Alquiler,Barcelona,270,2427300,2005-09-06,Pedro
990,991,2004-12-21,Oficina,Venta,Barcelona,233,1870757,2005-10-13,Luisa
1000,1001,2004-12-25,Local,Venta,Barcelona,250,1368750,2005-06-07,Luisa
1001,1002,2004-12-25,Piso,Alquiler,Barcelona,292,2677056,2005-07-22,María
1017,1018,2005-01-01,Local,Alquiler,Barcelona,269,1360064,2005-08-17,Jesús
1025,1026,2005-01-04,Parking,Alquiler,Barcelona,206,1231262,2005-07-10,Luisa
1034,1035,2005-01-07,Industrial,Venta,Barcelona,252,2398788,2005-11-19,Jesús
1047,1048,2005-01-12,Casa,Alquiler,Barcelona,279,2362572,2005-09-25,Luisa
1053,1054,2005-01-14,Oficina,Alquiler,Barcelona,251,2138771,2005-05-15,Carmen
1057,1058,2005-01-15,Parking,Venta,Barcelona,221,1919827,2006-01-06,Joaquín
1062,1063,2005-01-19,Oficina,Venta,Barcelona,213,1886541,2005-09-05,Jesús
1067,1068,2005-01-21,Parking,Venta,Barcelona,221,1471197,2005-10-17,Joaquín
1074,1075,2005-01-23,Parking,Alquiler,Barcelona,290,2275050,2005-09-20,Jesús
1076,1077,2005-01-23,Local,Alquiler,Barcelona,212,1911604,2006-01-14,María
1077,1078,2005-01-24,Oficina,Alquiler,Barcelona,254,1850644,2005-11-28,Carmen
1089,1090,2005-01-28,Local,Alquiler,Barcelona,253,1816793,2005-10-22,Pedro
1094,1095,2005-02-01,Local,Venta,Barcelona,300,1772700,2006-01-03,María
1097,1098,2005-02-01,Suelo,Venta,Barcelona,262,1960808,2005-09-11,Pedro
1111,1112,2005-02-06,Industrial,Alquiler,Barcelona,210,1602300,2005-06-26,Pedro
1118,1119,2005-02-10,Local,Alquiler,Barcelona,286,1912482,2005-11-26,Pedro
